timestamp,traffic_count,hour,day_of_week,is_weekend
2023-01-01 00:00:00,24,0,6,1
2023-01-01 01:00:00,20,1,6,1
2023-01-01 02:00:00,33,2,6,1
2023-01-01 03:00:00,49,3,6,1
2023-01-01 04:00:00,42,4,6,1
2023-01-01 05:00:00,54,5,6,1
2023-01-01 06:00:00,85,6,6,1
2023-01-01 07:00:00,90,7,6,1
2023-01-01 08:00:00,90,8,6,1
2023-01-01 09:00:00,110,9,6,1
2023-01-01 10:00:00,108,10,6,1
2023-01-01 11:00:00,113,11,6,1
2023-01-01 12:00:00,122,12,6,1
2023-01-01 13:00:00,99,13,6,1
2023-01-01 14:00:00,96,14,6,1
2023-01-01 15:00:00,99,15,6,1
2023-01-01 16:00:00,84,16,6,1
2023-01-01 17:00:00,86,17,6,1
2023-01-01 18:00:00,60,18,6,1
2023-01-01 19:00:00,42,19,6,1
2023-01-01 20:00:00,59,20,6,1
2023-01-01 21:00:00,32,21,6,1
2023-01-01 22:00:00,27,22,6,1
2023-01-01 23:00:00,10,23,6,1
2023-01-02 00:00:00,44,0,0,0
2023-01-02 01:00:00,52,1,0,0
2023-01-02 02:00:00,45,2,0,0
2023-01-02 03:00:00,68,3,0,0
2023-01-02 04:00:00,68,4,0,0
2023-01-02 05:00:00,84,5,0,0
2023-01-02 06:00:00,93,6,0,0
2023-01-02 07:00:00,131,7,0,0
2023-01-02 08:00:00,124,8,0,0
2023-01-02 09:00:00,124,9,0,0
2023-01-02 10:00:00,151,10,0,0
2023-01-02 11:00:00,136,11,0,0
2023-01-02 12:00:00,152,12,0,0
2023-01-02 13:00:00,128,13,0,0
2023-01-02 14:00:00,130,14,0,0
2023-01-02 15:00:00,137,15,0,0
2023-01-02 16:00:00,132,16,0,0
2023-01-02 17:00:00,114,17,0,0
2023-01-02 18:00:00,98,18,0,0
2023-01-02 19:00:00,84,19,0,0
2023-01-02 20:00:00,60,20,0,0
2023-01-02 21:00:00,57,21,0,0
2023-01-02 22:00:00,52,22,0,0
2023-01-02 23:00:00,62,23,0,0
2023-01-03 00:00:00,53,0,1,0
2023-01-03 01:00:00,34,1,1,0
2023-01-03 02:00:00,59,2,1,0
2023-01-03 03:00:00,60,3,1,0
2023-01-03 04:00:00,68,4,1,0
2023-01-03 05:00:00,93,5,1,0
2023-01-03 06:00:00,110,6,1,0
2023-01-03 07:00:00,122,7,1,0
2023-01-03 08:00:00,116,8,1,0
2023-01-03 09:00:00,132,9,1,0
2023-01-03 10:00:00,146,10,1,0
2023-01-03 11:00:00,158,11,1,0
2023-01-03 12:00:00,145,12,1,0
2023-01-03 13:00:00,146,13,1,0
2023-01-03 14:00:00,132,14,1,0
2023-01-03 15:00:00,123,15,1,0
2023-01-03 16:00:00,133,16,1,0
2023-01-03 17:00:00,126,17,1,0
2023-01-03 18:00:00,99,18,1,0
2023-01-03 19:00:00,97,19,1,0
2023-01-03 20:00:00,78,20,1,0
2023-01-03 21:00:00,58,21,1,0
2023-01-03 22:00:00,60,22,1,0
2023-01-03 23:00:00,67,23,1,0
2023-01-04 00:00:00,49,0,2,0
2023-01-04 01:00:00,67,1,2,0
